home_team,home_avg_points_last_5,home_avg_goals_scored_last_5,home_avg_goals_conceded_last_5,home_avg_goal_diff_last_5,home_win_streak,home_clean_sheets_last_5,home_momentum_score,home_elo
Abkhazia,1.8125,1.7,0.8125,0.8875,2.5,2.75,1.76625,1541.1914966094305
Afghanistan,1.0893617021276596,1.0936170212765957,1.9106382978723404,-0.8170212765957446,1.425531914893617,1.2765957446808511,0.603404255319149,1329.2002934852565
Albania,1.0490338164251207,0.9661030595813205,1.5025764895330114,-0.5364734299516908,1.3429951690821256,1.4879227053140096,0.6760628019323672,1467.9933317141024
Alderney,0.5,0.8583333333333333,3.075,-2.216666666666667,0.625,0.625,-0.27749999999999997,1451.7966893509688
Algeria,1.641431261770245,1.5376647834274955,0.9988700564971752,0.5387947269303202,2.268361581920904,1.9802259887005649,1.4699058380414314,1618.3975104455405
American Samoa,0.33799999999999997,0.66,6.3,-5.64,0.48,0.28,-1.4328,1338.2332574909929
Andalusia,1.6378787878787877,1.5106060606060607,1.4924242424242424,0.018181818181818177,2.090909090909091,1.8181818181818181,1.2606060606060607,1525.8048093891105
Andorra,0.29911504424778756,0.3380530973451328,2.457227138643068,-2.119174041297935,0.2743362831858407,0.6548672566371682,-0.3957522123893805,1240.8461968254267
Angola,1.3302955665024632,1.110344827586207,1.0482758620689656,0.062068965517241385,1.6059113300492611,1.70935960591133,1.042857142857143,1530.000133083745
Anguilla,0.23908045977011494,0.48045977011494256,4.098850574712643,-3.618390804597701,0.20689655172413793,0.1724137931034483,-0.931264367816092,1263.5863473990119
Antigua and Barbuda,1.0584615384615383,1.3185897435897436,1.991794871794872,-0.6732051282051282,1.4461538461538461,1.0153846153846153,0.6121923076923077,1415.570496980614
Arameans Suryoye,2.8,1.5,0.1,1.4,2.5,2.5,2.29,1525.5508677790804
Argentina,1.9240495867768594,1.9198347107438016,0.9954545454545455,0.9243801652892562,2.796694214876033,1.9537190082644629,1.8016446280991738,1748.051991938594
Armenia,0.9475826972010177,1.033587786259542,1.810178117048346,-0.7765903307888041,1.2671755725190839,0.9389312977099237,0.4933842239185751,1460.7561291506263
Artsakh,1.6222222222222225,3.4000000000000004,1.3222222222222222,2.077777777777778,2.1666666666666665,1.0,1.8055555555555556,1508.5163736536795
Aruba,0.7891891891891891,1.2382882882882884,2.370720720720721,-1.1324324324324324,0.9864864864864865,0.5945945945945946,0.23270270270270274,1366.731793505821
Australia,1.716359918200409,2.0529141104294477,1.101635991820041,0.951278118609407,2.51840490797546,1.9539877300613497,1.6710071574642127,1671.2162620267977
Austria,1.4804347826086957,1.7631521739130434,1.510217391304348,0.2529347826086956,2.115217391304348,1.2869565217391303,1.2197934782608697,1614.586597795349
Azerbaijan,0.8114093959731544,0.7539149888143176,1.7784116331096198,-1.024496644295302,0.9463087248322147,1.1476510067114094,0.3212416107382551,1415.7345722046514
Bahamas,0.7628571428571428,1.0942857142857143,3.48,-2.3857142857142857,1.0285714285714285,0.45714285714285713,-0.1591428571428571,1379.554485977762
Bahrain,1.308784425451092,1.253988603988604,1.3490503323836658,-0.09506172839506173,1.7293447293447293,1.5726495726495726,0.9981291547958215,1533.4594671353293
Bangladesh,0.9766666666666666,0.9164583333333333,1.9001041666666665,-0.9836458333333333,1.2625,1.21875,0.46994791666666674,1322.457569701253
Barawa,1.1285714285714286,1.7571428571428573,3.0357142857142856,-1.2785714285714285,1.7142857142857142,1.0,0.5107142857142859,1495.9657633209313
Barbados,1.2034090909090909,1.322348484848485,1.7038825757575757,-0.38153409090909096,1.5681818181818181,1.2613636363636365,0.8066761363636364,1435.0459198813357
Basque Country,2.2,2.6571428571428575,1.3785714285714286,1.2785714285714285,3.3214285714285716,1.0714285714285714,2.035,1625.917011139279
Belarus,1.1514084507042253,1.2549295774647886,1.561737089201878,-0.3068075117370892,1.5,1.1830985915492958,0.7868309859154929,1508.5605209547666
Belgium,1.5527472527472528,1.8228571428571427,1.525054945054945,0.2978021978021978,2.221978021978022,1.512087912087912,1.306043956043956,1626.0030576696756
Belize,1.0074074074074073,1.128395061728395,1.8617283950617283,-0.7333333333333334,1.4074074074074074,1.0740740740740742,0.5718518518518519,1372.569597063496
Benin,0.9409375000000001,1.0543749999999998,1.7947916666666668,-0.7404166666666667,1.175,1.05625,0.49487500000000006,1436.210500161
Bermuda,1.2216216216216216,1.6846846846846846,1.687087087087087,-0.002402402402402402,1.7747747747747749,1.4054054054054055,0.9834234234234235,1423.2915969444177
Bhutan,0.44,0.6228571428571429,3.6457142857142855,-3.0228571428571427,0.6285714285714286,0.6857142857142857,-0.5365714285714286,1156.1671651117529
Bolivia,0.8604477611940299,0.9894278606965174,2.0888059701492536,-1.0993781094527364,1.085820895522388,0.9813432835820896,0.32966417910447765,1486.8716088908914
Bonaire,1.249122807017544,1.6982456140350877,2.456140350877193,-0.7578947368421053,1.7894736842105263,0.7368421052631579,0.7038596491228071,1414.2726593750313
Bosnia and Herzegovina,1.3551094890510949,1.3474452554744525,1.389051094890511,-0.041605839416058395,1.8832116788321167,1.510948905109489,1.0572992700729928,1587.464024981226
Botswana,1.0587570621468927,0.7981167608286253,1.3731638418079097,-0.5750470809792844,1.3220338983050848,1.7062146892655368,0.6860169491525424,1429.6315350179473
Brazil,2.1039837398373984,2.1766666666666667,0.8994308943089431,1.2772357723577237,3.1528455284552845,2.2065040650406504,2.0759837398373984,1813.2749915718105
British Virgin Islands,0.6693877551020407,0.946938775510204,3.322448979591837,-2.3755102040816327,0.8571428571428571,0.7142857142857143,-0.2020408163265306,1303.4647531681917
Brittany,1.925,1.8875,1.3375,0.55,2.125,0.375,1.3975000000000002,1514.2974997916378
Brunei,0.5735849056603773,0.750943396226415,3.3962264150943398,-2.645283018867924,0.8679245283018868,0.4528301886792453,-0.34528301886792445,1195.1389586374933
Bulgaria,1.2387692307692308,1.2982564102564103,1.6055384615384614,-0.3072820512820513,1.64,1.2738461538461539,0.8587076923076924,1567.0811947701113
Burkina Faso,1.330841121495327,1.229595015576324,1.3355140186915888,-0.10591900311526481,1.780373831775701,1.4672897196261683,1.0033644859813085,1509.7502810005756
Burundi,1.1260204081632652,1.0964285714285715,1.3877551020408163,-0.2913265306122449,1.489795918367347,1.4591836734693877,0.8068877551020408,1437.010636191567
Cambodia,0.7844594594594594,1.1155405405405405,2.598648648648649,-1.4831081081081081,1.054054054054054,0.7702702702702703,0.15668918918918923,1273.1239554307322
Cameroon,1.6209459459459459,1.4229166666666666,1.087837837837838,0.33507882882882883,2.179054054054054,1.8716216216216217,1.3718750000000002,1627.336192458113
Canada,1.3981395348837211,1.2995348837209302,1.2790697674418605,0.02046511627906977,1.9209302325581394,1.827906976744186,1.132372093023256,1569.7380672756683
Cape Verde,1.289430894308943,1.0533875338753387,1.178319783197832,-0.12493224932249324,1.7560975609756098,1.6504065040650406,0.9945528455284554,1494.7846399057817
Cayman Islands,0.7386574074074074,0.9444444444444444,2.5416666666666665,-1.5972222222222223,0.9305555555555556,0.9166666666666666,0.09407407407407413,1356.624518206706
Central African Republic,0.773671497584541,1.092512077294686,1.9811594202898548,-0.888647342995169,0.9420289855072463,0.8260869565217391,0.31388888888888894,1398.9195386750634
Central Spain,0.0,1.0,4.0,-3.0,0.0,0.0,-0.8999999999999999,1490.0
Chad,0.835820895522388,0.826865671641791,1.7492537313432837,-0.9223880597014925,0.9850746268656716,1.1791044776119404,0.37253731343283586,1414.974534952531
Chagos Islands,0.56,1.3199999999999998,5.2,-3.8800000000000003,0.6,0.0,-0.82,1478.09124808048
Chameria,1.55,2.25,1.4,0.85,1.5,1.5,1.3250000000000002,1502.1538134272191
Chechnya,,,,,,,,1500.0
Chile,1.332394366197183,1.4487480438184663,1.4802034428794992,-0.03145539906103286,1.880281690140845,1.3568075117370892,1.0352582159624415,1599.4368590016816
China,1.6542606516290725,1.801127819548872,1.0784461152882205,0.7226817042606517,2.380952380952381,2.007518796992481,1.5554511278195489,1622.492001242675
Colombia,1.4674267100977199,1.2830618892508143,1.2020629750271445,0.08099891422366992,1.990228013029316,2.003257328990228,1.209641693811075,1644.8977507105808
Comoros,0.9393939393939394,0.9045454545454545,1.690909090909091,-0.7863636363636364,1.1818181818181819,0.9696969696969697,0.47318181818181826,1369.9098623841992
Congo,1.2524752475247525,1.3603960396039605,1.500990099009901,-0.14059405940594058,1.6782178217821782,1.2722772277227723,0.9216831683168317,1506.664386497618
Cook Islands,0.59,0.8033333333333333,7.111666666666666,-6.308333333333334,0.9,0.25,-1.4514999999999998,1417.9625901544384
Costa Rica,1.6187845303867403,1.8232044198895028,1.131169429097606,0.6920349907918969,2.270718232044199,1.7430939226519337,1.4835773480662986,1623.3862206520137
County of Nice,2.033333333333333,1.9000000000000001,1.3111111111111111,0.5888888888888889,2.3333333333333335,2.0,1.656666666666667,1514.2622721065327
Croatia,1.8147368421052632,1.7329824561403508,1.0343859649122806,0.6985964912280701,2.5631578947368423,1.9157894736842105,1.6396842105263159,1743.2405643519405
Cuba,1.3024691358024691,1.3756172839506173,1.5008230452674898,-0.12520576131687244,1.7530864197530864,1.7037037037037037,1.0044135802469136,1488.5353130797866
Curaçao,1.3548387096774193,1.621505376344086,1.5666666666666667,0.05483870967741935,1.8172043010752688,1.3333333333333333,1.0551612903225807,1485.302223178839
Cyprus,0.7680911680911681,0.9158119658119659,2.202065527065527,-1.2862535612535613,1.0,0.6794871794871795,0.18930911680911686,1400.9007890232747
Czech Republic,1.6559808612440192,1.8244019138755982,1.2447368421052631,0.579665071770335,2.38755980861244,1.5334928229665072,1.4671531100478468,1665.2536462764058
DR Congo,1.4272727272727272,1.490151515151515,1.1931060606060606,0.2970454545454545,1.940909090909091,1.5545454545454545,1.203659090909091,1550.781248041801
Darfur,0.0,0.19444444444444442,13.972222222222221,-13.777777777777779,0.0,0.0,-4.133333333333334,1473.9502822662205
Denmark,1.6139013452914797,1.8974962630792227,1.3468983557548582,0.5505979073243648,2.3251121076233185,1.4641255605381165,1.4221748878923768,1621.2413835324485
Djibouti,0.252,0.655,3.819,-3.1639999999999997,0.28,0.24,-0.7684000000000001,1262.2749417870737
Dominica,0.945575221238938,1.1615044247787611,1.9578171091445427,-0.7963126843657817,1.1150442477876106,1.0619469026548674,0.4685398230088496,1382.6458233512303
Dominican Republic,1.3198863636363638,1.6829545454545454,1.6,0.08295454545454545,1.8977272727272727,1.4545454545454546,1.0778409090909091,1426.5074950249868
Donetsk PR,0.5,0.875,1.625,-0.75,0.5,0.5,0.12500000000000008,1486.4224068916428
Délvidék,3.0,3.0,1.0,2.0,1.0,0.0,2.0000000000000004,1504.4581829034069
Ecuador,1.179089790897909,1.2141451414514146,1.5773677736777367,-0.3632226322263223,1.5202952029520296,1.3948339483394834,0.8062115621156212,1566.8351909901858
Egypt,1.7467415730337077,1.6928089887640447,1.0456928838951312,0.6471161048689138,2.5146067415730338,2.0584269662921346,1.6015955056179776,1653.0186561689163
El Salvador,1.1962301587301587,1.2834821428571428,1.5871031746031745,-0.3036210317460317,1.6369047619047619,1.2232142857142858,0.8371081349206351,1506.3181797446389
Elba Island,,,,,,,,1500.0
Ellan Vannin,2.2,3.9366666666666665,1.2333333333333334,2.703333333333333,2.4,0.9,2.261,1537.8856154990683
England,1.948242424242424,2.0986666666666665,0.904969696969697,1.1936969696969697,2.847272727272727,2.178181818181818,1.924678787878788,1747.6520044971867
Equatorial Guinea,1.0533333333333332,0.9244444444444445,1.4933333333333334,-0.5688888888888889,1.3888888888888888,1.2777777777777777,0.6562222222222224,1434.6890049203262
Eritrea,0.6076923076923078,0.6615384615384615,1.9307692307692308,-1.2692307692307692,0.6923076923076923,0.8461538461538461,0.08538461538461542,1394.9406262398102
Estonia,0.9492481203007519,0.9646616541353384,1.7654135338345867,-0.8007518796992481,1.199248120300752,1.1578947368421053,0.4951127819548873,1411.9933939680047
Eswatini,0.833587786259542,0.794910941475827,1.7389312977099238,-0.9440203562340967,0.8473282442748091,1.1526717557251909,0.3349618320610688,1375.358510223232
Ethiopia,1.2672268907563027,1.3018207282913163,1.4505602240896358,-0.14873949579831933,1.7016806722689075,1.5546218487394958,0.9580672268907563,1483.1698348160946
Falkland Islands,0.72,1.08,3.4800000000000004,-2.4,1.2,0.6,-0.132,1436.0166979309065
Faroe Islands,0.6589928057553956,0.7920863309352517,2.2741007194244607,-1.4820143884892085,0.9064748201438849,0.6834532374100719,0.06863309352517989,1345.0195608979288
Felvidék,1.6666666666666667,1.7333333333333334,1.7555555555555558,-0.022222222222222237,2.0,0.0,1.06,1507.3033812380327
Fiji,1.4457831325301205,2.335140562248996,1.7407630522088355,0.5943775100401607,2.13855421686747,1.5120481927710843,1.3355421686746989,1527.4857567639453
Finland,0.9577100646352724,1.1653277931671284,2.190258541089566,-1.0249307479224377,1.2825484764542936,1.0,0.4321144967682364,1447.9447547398358
France,1.7364427860696519,1.8409203980099502,1.3211442786069652,0.5197761194029851,2.537313432835821,1.796641791044776,1.5376368159203981,1704.3265379879974
Franconia,,,,,,,,1500.0
French Guiana,1.105,1.5191666666666666,1.7591666666666665,-0.24,1.525,1.0,0.7750000000000001,1424.8031501810938
Frøya,0.6333333333333333,1.3833333333333335,3.6916666666666664,-2.308333333333333,0.75,0.08333333333333333,-0.2808333333333333,1447.5368590322237
Gabon,1.3026960784313726,1.1424019607843139,1.2069444444444444,-0.06454248366013071,1.7107843137254901,1.8284313725490196,1.02671568627451,1521.7484087043558
Galicia,1.9749999999999999,2.202777777777778,1.2083333333333333,0.9944444444444445,2.5,0.0,1.5883333333333336,1529.0421608560569
Gambia,1.101027397260274,0.9914383561643836,1.3842465753424658,-0.3928082191780822,1.356164383561644,1.2397260273972603,0.7177739726027398,1438.5102423370395
Georgia,1.1545774647887324,1.272887323943662,1.4285211267605633,-0.15563380281690142,1.5704225352112675,1.352112676056338,0.8644366197183099,1505.6998861736404
German DR,1.5458333333333334,1.6150252525252526,1.2561868686868687,0.35883838383838385,2.1893939393939394,1.393939393939394,1.3032575757575757,1615.393340961097
Germany,1.9533933933933936,2.255615615615616,1.159039039039039,1.0965765765765767,2.9045045045045046,1.744144144144144,1.8656456456456458,1760.6881447484293
Ghana,1.6410828025477706,1.550212314225053,1.0654989384288747,0.4847133757961783,2.3089171974522293,1.8248407643312101,1.4461146496815287,1627.4539565270368
Gibraltar,0.8582278481012657,1.1594936708860761,2.5535864978902953,-1.3940928270042194,1.2151898734177216,1.2025316455696202,0.2883544303797469,1413.1971767777497
Gotland,1.7333333333333334,3.948888888888889,1.528888888888889,2.42,2.1333333333333333,0.8666666666666667,1.9326666666666668,1511.214897823227
Gozo,1.5,3.6533333333333333,2.7733333333333334,0.8800000000000001,2.2,1.0,1.404,1502.6098799102724
Greece,1.41625,1.299375,1.393125,-0.09375,1.98125,1.584375,1.0930625,1577.4349961215967
Greenland,1.099404761904762,1.799404761904762,2.149404761904762,-0.35,1.6071428571428572,1.3571428571428572,0.791904761904762,1430.3739286980854
Grenada,1.2217557251908397,1.6645038167938933,1.8541984732824428,-0.18969465648854963,1.6564885496183206,1.0610687022900764,0.8691984732824428,1440.179443878837
Guadeloupe,1.4209219858156028,1.692434988179669,1.4807328605200945,0.21170212765957447,2.078014184397163,1.4113475177304964,1.1886170212765956,1495.451820850627
Guam,0.6559999999999999,1.0506666666666666,4.867333333333334,-3.816666666666667,0.94,0.66,-0.6285999999999999,1327.8021441029925
Guatemala,1.2856140350877192,1.3707602339181286,1.3888888888888888,-0.018128654970760244,1.6912280701754385,1.5894736842105264,1.0060000000000002,1528.1670827857927
Guinea,1.4,1.3467811158798284,1.234334763948498,0.11244635193133047,1.8798283261802575,1.4892703862660943,1.1186266094420603,1536.0546908308088
Guinea-Bissau,1.0150537634408603,0.9842293906810036,1.532258064516129,-0.5480286738351254,1.1935483870967742,1.2258064516129032,0.6029032258064516,1440.6849882492431
Guyana,1.0696202531645569,1.3160337552742616,1.9059071729957806,-0.589873417721519,1.4367088607594938,0.9113924050632911,0.629367088607595,1423.4623308425996
Găgăuzia,0.0,0.25,3.0,-2.75,0.0,0.0,-0.825,1487.4929462741457
Haiti,1.4433333333333334,1.602091503267974,1.4072549019607845,0.19483660130718955,2.066666666666667,1.580392156862745,1.2071568627450981,1527.9822800106786
Hitra,0.7749999999999999,1.5,3.7,-2.2,1.25,0.125,-0.08749999999999997,1445.3299315761058
Hmong,0.0,0.0,3.0,-3.0,0.0,0.0,-0.8999999999999999,1490.1458598849963
Honduras,1.47991452991453,1.4773504273504274,1.2290598290598291,0.2482905982905983,2.0096153846153846,1.6442307692307692,1.2327991452991454,1588.546048140649
Hong Kong,1.1966537966537967,1.498133848133848,1.6251608751608753,-0.12702702702702703,1.61003861003861,1.3011583011583012,0.8926769626769627,1436.2574975067519
Hungary,1.5959758551307848,1.942354124748491,1.5034205231388331,0.43893360160965794,2.2877263581488934,1.4245472837022133,1.3700704225352114,1629.0769329194127
Iceland,1.0448936170212766,1.178936170212766,1.7604255319148936,-0.5814893617021277,1.4170212765957446,1.1787234042553192,0.6447872340425532,1486.306461460913
India,1.305084745762712,1.3640677966101695,1.5735593220338984,-0.2094915254237288,1.8101694915254238,1.3796610169491526,0.9591864406779662,1436.759148994055
